"filename", "language", "Python", "JavaScript", "Markdown", "JSON", "PostCSS", "HTML", "comment", "blank", "total"
"d:\code\AI\J-Agents\workflow\src\workflow_app\README.md", "Markdown", 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\code\AI\J-Agents\workflow\src\workflow_app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 2, 3
"d:\code\AI\J-Agents\workflow\src\workflow_app\entry\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\code\AI\J-Agents\workflow\src\workflow_app\entry\workflow_entry_cli.py", "Python", 584, 0, 0, 0, 0, 0, 3, 96, 683
"d:\code\AI\J-Agents\workflow\src\workflow_app\entry\workflow_entry_summary_ops.py", "Python", 155, 0, 0, 0, 0, 0, 1, 16, 172
"d:\code\AI\J-Agents\workflow\src\workflow_app\entry\workflow_entry_training_ops.py", "Python", 333, 0, 0, 0, 0, 0, 0, 18, 351
"d:\code\AI\J-Agents\workflow\src\workflow_app\history\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\code\AI\J-Agents\workflow\src\workflow_app\history\workflow_history_admin.py", "Python", 291, 0, 0, 0, 0, 0, 1, 40, 332
"d:\code\AI\J-Agents\workflow\src\workflow_app\module_parts.py", "Python", 22, 0, 0, 0, 0, 0, 0, 4, 26
"d:\code\AI\J-Agents\workflow\src\workflow_app\runtime\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\code\AI\J-Agents\workflow\src\workflow_app\runtime\agent_runtime.py", "Python", 108, 0, 0, 0, 0, 0, 8, 22, 138
"d:\code\AI\J-Agents\workflow\src\workflow_app\runtime\task_agent_runner.py", "Python", 451, 0, 0, 0, 0, 0, 1, 66, 518
"d:\code\AI\J-Agents\workflow\src\workflow_app\runtime\training_center_runtime.py", "Python", 3, 0, 0, 0, 0, 0, 0, 3, 6
"d:\code\AI\J-Agents\workflow\src\workflow_app\runtime\training_center_runtime_parts\manifest.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\code\AI\J-Agents\workflow\src\workflow_app\runtime\training_center_runtime_parts\portrait_extraction.py", "Python", 254, 0, 0, 0, 0, 0, 6, 26, 286
"d:\code\AI\J-Agents\workflow\src\workflow_app\runtime\training_center_runtime_parts\runtime_core.py", "Python", 656, 0, 0, 0, 0, 0, 2, 88, 746
"d:\code\AI\J-Agents\workflow\src\workflow_app\server\README.md", "Markdown", 0, 0, 52, 0, 0, 0, 0, 11, 63
"d:\code\AI\J-Agents\workflow\src\workflow_app\server\__init__.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\code\AI\J-Agents\workflow\src\workflow_app\server\api\README.md", "Markdown", 0, 0, 54, 0, 0, 0, 0, 11, 65
"d:\code\AI\J-Agents\workflow\src\workflow_app\server\api\__init__.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\code\AI\J-Agents\workflow\src\workflow_app\server\api\assignments.py", "Python", 519, 0, 0, 0, 0, 0, 0, 49, 568
"d:\code\AI\J-Agents\workflow\src\workflow_app\server\api\chat.py", "Python", 77, 0, 0, 0, 0, 0, 0, 8, 85
"d:\code\AI\J-Agents\workflow\src\workflow_app\server\api\config.py", "Python", 102, 0, 0, 0, 0, 0, 0, 12, 114
"d:\code\AI\J-Agents\workflow\src\workflow_app\server\api\dashboard.py", "Python", 73, 0, 0, 0, 0, 0, 0, 8, 81
"d:\code\AI\J-Agents\workflow\src\workflow_app\server\api\defects.py", "Python", 219, 0, 0, 0, 0, 0, 0, 27, 246
"d:\code\AI\J-Agents\workflow\src\workflow_app\server\api\legacy.py", "Python", 3, 0, 0, 0, 0, 0, 1, 3, 7
"d:\code\AI\J-Agents\workflow\src\workflow_app\server\api\legacy_admin_handlers.py", "Python", 3, 0, 0, 0, 0, 0, 1, 2, 6
"d:\code\AI\J-Agents\workflow\src\workflow_app\server\api\legacy_chat_handlers.py", "Python", 512, 0, 0, 0, 0, 0, 2, 6, 520
"d:\code\AI\J-Agents\workflow\src\workflow_app\server\api\legacy_post_route_registry.py", "Python", 33, 0, 0, 0, 0, 0, 0, 11, 44
"d:\code\AI\J-Agents\workflow\src\workflow_app\server\api\legacy_route_handlers.py", "Python", 10, 0, 0, 0, 0, 0, 0, 6, 16
"d:\code\AI\J-Agents\workflow\src\workflow_app\server\api\legacy_task_config_handlers.py", "Python", 77, 0, 0, 0, 0, 0, 0, 16, 93
