[2026-03-07 20:56:01] watcher started
[2026-03-07 20:56:01] target_contact=Ever; poll=6s; cooldown=120s
[2026-03-07 20:56:01] tick: no target notification
[2026-03-07 20:56:07] tick: no target notification
[2026-03-07 20:56:13] tick: no target notification
[2026-03-07 20:56:19] tick: no target notification
[2026-03-07 20:56:25] tick: no target notification
[2026-03-07 20:56:31] tick: no target notification
[2026-03-07 20:56:37] tick: no target notification
[2026-03-07 20:56:43] tick: no target notification
[2026-03-07 20:56:49] tick: no target notification
[2026-03-07 20:56:55] tick: no target notification
[2026-03-07 20:57:01] tick: no target notification
[2026-03-07 20:57:07] tick: no target notification
[2026-03-07 20:57:13] tick: no target notification
[2026-03-07 20:57:19] tick: no target notification
[2026-03-07 20:57:25] tick: no target notification
[2026-03-07 20:57:31] tick: no target notification
[2026-03-07 20:57:37] tick: no target notification
[2026-03-07 20:57:43] tick: no target notification
[2026-03-07 20:57:49] tick: no target notification
[2026-03-07 20:57:55] tick: no target notification
[2026-03-07 20:58:01] tick: no target notification
[2026-03-07 20:58:07] tick: no target notification
[2026-03-07 20:58:13] tick: no target notification
[2026-03-07 20:58:19] tick: no target notification
[2026-03-07 20:58:25] tick: no target notification
[2026-03-07 20:58:31] tick: no target notification
[2026-03-07 20:58:37] tick: no target notification
[2026-03-07 20:58:43] tick: no target notification
[2026-03-07 20:58:49] tick: no target notification
[2026-03-07 20:58:55] tick: no target notification
[2026-03-07 20:59:01] tick: no target notification
[2026-03-07 20:59:07] tick: no target notification
[2026-03-07 20:59:13] tick: no target notification
[2026-03-07 20:59:19] tick: no target notification
[2026-03-07 20:59:25] tick: no target notification
[2026-03-07 20:59:31] tick: no target notification
[2026-03-07 20:59:37] tick: no target notification
[2026-03-07 20:59:43] tick: no target notification
[2026-03-07 20:59:49] tick: no target notification
[2026-03-07 20:59:55] tick: no target notification
[2026-03-07 21:00:01] tick: no target notification
[2026-03-07 21:00:07] tick: no target notification
[2026-03-07 21:00:13] tick: no target notification
[2026-03-07 21:00:19] tick: no target notification
[2026-03-07 21:00:25] tick: no target notification
[2026-03-07 21:00:31] tick: no target notification
[2026-03-07 21:00:37] tick: no target notification
[2026-03-07 21:00:43] tick: no target notification
[2026-03-07 21:00:49] tick: no target notification
[2026-03-07 21:00:55] tick: no target notification
[2026-03-07 21:01:01] tick: no target notification
[2026-03-07 21:01:07] tick: no target notification
[2026-03-07 21:01:13] tick: no target notification
[2026-03-07 21:01:19] tick: no target notification
[2026-03-07 21:01:25] tick: no target notification
[2026-03-07 21:01:31] tick: no target notification
[2026-03-07 21:01:37] tick: no target notification
[2026-03-07 21:01:43] tick: no target notification
[2026-03-07 21:01:49] tick: no target notification
[2026-03-07 21:01:55] tick: no target notification
[2026-03-07 21:02:01] tick: no target notification
[2026-03-07 21:02:07] tick: no target notification
[2026-03-07 21:02:13] tick: no target notification
[2026-03-07 21:02:19] tick: no target notification
[2026-03-07 21:02:25] tick: no target notification
[2026-03-07 21:02:31] tick: no target notification
[2026-03-07 21:02:37] tick: no target notification
[2026-03-07 21:02:43] tick: no target notification
[2026-03-07 21:02:49] tick: no target notification
[2026-03-07 21:02:55] tick: no target notification
[2026-03-07 21:03:01] tick: no target notification
[2026-03-07 21:03:07] tick: no target notification
[2026-03-07 21:03:13] tick: no target notification
[2026-03-07 21:03:19] tick: no target notification
[2026-03-07 21:03:25] tick: no target notification
[2026-03-07 21:03:31] tick: no target notification
[2026-03-07 21:03:37] tick: no target notification
[2026-03-07 21:03:43] tick: no target notification
[2026-03-07 21:03:49] tick: no target notification
[2026-03-07 21:03:55] tick: no target notification
[2026-03-07 21:04:01] tick: no target notification
[2026-03-07 21:04:07] tick: no target notification
[2026-03-07 21:04:13] tick: no target notification
[2026-03-07 21:04:19] tick: no target notification
[2026-03-07 21:04:25] tick: no target notification
[2026-03-07 21:04:31] tick: no target notification
[2026-03-07 21:04:37] tick: no target notification
[2026-03-07 21:04:43] tick: no target notification
[2026-03-07 21:04:49] tick: no target notification
[2026-03-07 21:04:55] tick: no target notification
[2026-03-07 21:05:01] tick: no target notification
[2026-03-07 21:05:07] tick: no target notification
[2026-03-07 21:05:13] tick: no target notification
[2026-03-07 21:05:19] tick: no target notification
[2026-03-07 21:05:25] tick: no target notification
[2026-03-07 21:05:31] tick: no target notification
[2026-03-07 21:05:37] tick: no target notification
[2026-03-07 21:05:43] tick: no target notification
[2026-03-07 21:05:49] tick: no target notification
[2026-03-07 21:05:55] tick: no target notification
[2026-03-07 21:06:01] tick: no target notification
[2026-03-07 21:06:07] tick: no target notification
[2026-03-07 21:06:13] tick: no target notification
[2026-03-07 21:06:19] tick: no target notification
[2026-03-07 21:06:25] tick: no target notification
[2026-03-07 21:06:31] tick: no target notification
[2026-03-07 21:06:37] tick: no target notification
[2026-03-07 21:06:43] tick: no target notification
[2026-03-07 21:06:49] tick: no target notification
[2026-03-07 21:06:55] tick: no target notification
[2026-03-07 21:07:01] tick: no target notification
[2026-03-07 21:07:07] tick: no target notification
[2026-03-07 21:07:13] tick: no target notification
[2026-03-07 21:07:19] tick: no target notification
[2026-03-07 21:07:25] tick: no target notification
[2026-03-07 21:07:31] tick: no target notification
[2026-03-07 21:07:37] tick: no target notification
[2026-03-07 21:07:43] tick: no target notification
[2026-03-07 21:07:49] tick: no target notification
[2026-03-07 21:07:55] tick: no target notification
[2026-03-07 21:08:01] tick: no target notification
[2026-03-07 21:08:07] tick: no target notification
[2026-03-07 21:08:13] tick: no target notification
[2026-03-07 21:08:19] tick: no target notification
[2026-03-07 21:08:25] tick: no target notification
[2026-03-07 21:08:31] tick: no target notification
[2026-03-07 21:08:37] tick: no target notification
[2026-03-07 21:08:43] tick: no target notification
[2026-03-07 21:08:49] tick: no target notification
[2026-03-07 21:08:55] tick: no target notification
[2026-03-07 21:09:01] tick: no target notification
[2026-03-07 21:09:07] tick: no target notification
[2026-03-07 21:09:13] tick: no target notification
[2026-03-07 21:09:19] tick: no target notification
[2026-03-07 21:09:25] tick: no target notification
[2026-03-07 21:09:31] tick: no target notification
[2026-03-07 21:09:37] tick: no target notification
[2026-03-07 21:09:43] tick: no target notification
[2026-03-07 21:09:49] tick: no target notification
[2026-03-07 21:09:55] tick: no target notification
[2026-03-07 21:10:01] tick: no target notification
[2026-03-07 21:10:07] tick: no target notification
[2026-03-07 21:10:13] tick: no target notification
[2026-03-07 21:10:19] tick: no target notification
[2026-03-07 21:10:25] tick: no target notification
[2026-03-07 21:10:31] tick: no target notification
[2026-03-07 21:10:37] tick: no target notification
[2026-03-07 21:10:43] tick: no target notification
[2026-03-07 21:10:49] tick: no target notification
[2026-03-07 21:10:55] tick: no target notification
[2026-03-07 21:11:01] tick: no target notification
[2026-03-07 21:11:07] tick: no target notification
[2026-03-07 21:11:13] tick: no target notification
